#separator:tab
#html:true
#notetype:Mandarin Vocabulary
#deck:Mandarin::Vocabulary
#columns:Hanzi	Pinyin	English	ExampleHanzi	ExamplePinyin	ExampleEnglish	Notes
猫	māo	cat	我有一只猫。	Wǒ yǒu yì zhī māo.	I have a cat.	Measure word: 只 (zhī) for most animals.
未来	wèilái	future / in the future	未来你想做什么？	Wèilái nǐ xiǎng zuò shénme?	What do you want to do in the future?	Time adverb — placed at the start of the sentence or before the verb.
上	shàng	up / on / above; previous; to attend / go to	书在桌子上。	Shū zài zhuōzi shàng.	The book is on the table.	As locative, goes AFTER the noun.
上面	shàngmiàn	on top / above (locative)	书在桌子上面。	Shū zài zhuōzi shàngmiàn.	The book is on top of the table.	Goes AFTER the reference object.
下	xià	down / below / under; next; to get off / descend	猫在桌子下。	Māo zài zhuōzi xià.	The cat is under the table.	As locative, goes AFTER the noun.
下面	xiàmiàn	under / below (locative)	猫在椅子下面。	Māo zài yǐzi xiàmiàn.	The cat is under the chair.	Goes AFTER the reference object.
手机号	shǒujī hào	phone number / cell number	我的手机号是一三九……	Wǒ de shǒujī hào shì yāo sān jiǔ……	My phone number is 139...	Full form: 手机号码 (shǒujī hàomǎ).
你的手机号是多少	nǐ de shǒujī hào shì duōshao	what's your phone number?	你的手机号是多少？	Nǐ de shǒujī hào shì duōshao?	What's your phone number?	
医院	yīyuàn	hospital	他在医院工作。	Tā zài yīyuàn gōngzuò.	He works at the hospital.	Measure word: 家 (jiā).
医生	yīshēng	doctor	我姐姐是医生。	Wǒ jiějie shì yīshēng.	My older sister is a doctor.	
复习	fùxí	to review (study)	我正在复习汉字。	Wǒ zhèngzài fùxí Hànzì.	I'm reviewing Chinese characters.	
预习	yùxí	to preview / prepare (study)	上课前要预习。	Shàngkè qián yào yùxí.	You should preview before class.	
我在公司工作	wǒ zài gōngsī gōngzuò	I work at the company	我在公司工作。	Wǒ zài gōngsī gōngzuò.	I work at the company.	Pattern: Subject + 在 + PLACE + VERB. Location goes BEFORE the verb.
喜欢	xǐhuan	to like	我喜欢你。	Wǒ xǐhuan nǐ.	I like you.	Second syllable is neutral tone (huan, not huān). Followed directly by a noun or verb: 喜欢 + N/V.
在哪儿	zài nǎr	where is / where at	你在哪儿？	Nǐ zài nǎr?	Where are you?	
在哪儿呢	zài nǎr ne	where is ... (then)?	我的钥匙在哪儿呢？	Wǒ de yàoshi zài nǎr ne?	Where are my keys?	Softer, more musing/rhetorical, wondering/searching tone.
火车	huǒchē	train	我坐火车去北京。	Wǒ zuò huǒchē qù Běijīng.	I take the train to Beijing.	Literally "fire vehicle". Verb for "take (a train)" is 坐 (zuò, to sit). Measure word: 列 (liè) or 辆 (liàng).
火车站	huǒchēzhàn	train station	火车站离这儿很近。	Huǒchēzhàn lí zhèr hěn jìn.	The train station is very close.	
页	yè	page; leaf	请翻到第十页。	Qǐng fān dào dì shí yè.	Please turn to page 10.	Acts as its own measure word: 十页 = 10 pages (no extra classifier needed). Pattern for ordinals: 第 (dì) + number + 页.
鸭子	yāzi	duck	北京烤鸭很有名。	Běijīng kǎoyā hěn yǒumíng.	Peking duck is very famous.	
金	jīn	gold; golden; metal	这是金的。	Zhè shì jīn de.	This is gold.	For the metal specifically, often 金子 (jīnzi).
眼镜	yǎnjìng	eyeglasses	我需要买新眼镜。	Wǒ xūyào mǎi xīn yǎnjìng.	I need to buy new glasses.	Measure word: 副 (fù, for paired items).
给	gěi	to give; for / to (preposition)	我给你一本书。	Wǒ gěi nǐ yì běn shū.	I'll give you a book.	Double-object verb: 给 + recipient + thing.
比赛	bǐsài	competition; to compete / match / contest	今天有一场比赛。	Jīntiān yǒu yì chǎng bǐsài.	There's a match today.	Both noun and verb. Measure words: 场 (chǎng, for events/rounds) or 个 (gè, generic).
组织	zǔzhī	to organize; organization	老师组织了一次活动。	Lǎoshī zǔzhīle yí cì huódòng.	The teacher organized an activity.	Both noun and verb.
跟	gēn	with; and; to follow	我跟你去。	Wǒ gēn nǐ qù.	I'll go with you.	As a preposition, goes BEFORE the verb.
软件	ruǎnjiàn	software	这个软件很好用。	Zhège ruǎnjiàn hěn hǎoyòng.	This software is very easy to use.	
软件工程师	ruǎnjiàn gōngchéngshī	software engineer	我是软件工程师。	Wǒ shì ruǎnjiàn gōngchéngshī.	I'm a software engineer.	
面包	miànbāo	bread	我早饭吃面包。	Wǒ zǎofàn chī miànbāo.	I have bread for breakfast.	
面条	miàntiáo	noodles	我喜欢吃面条。	Wǒ xǐhuan chī miàntiáo.	I like noodles.	
面条儿	miàntiáor	noodles	来一碗面条儿。	Lái yì wǎn miàntiáor.	Give me a bowl of noodles.	
电脑	diànnǎo	computer	我的电脑坏了。	Wǒ de diànnǎo huài le.	My computer is broken.	
电话	diànhuà	telephone / phone call	请给我打电话。	Qǐng gěi wǒ dǎ diànhuà.	Please give me a call.	Verb collocation for "make a call": 打电话 (dǎ diànhuà, lit. "hit a call").
电话号	diànhuàhào	phone number	他的电话号是多少？	Tā de diànhuàhào shì duōshao?	What's his phone number?	Full form: 电话号码 (diànhuà hàomǎ).
电子	diànzǐ	electronic; electron	这是电子版的。	Zhè shì diànzǐbǎn de.	This is the electronic version.	Almost always used as a modifier prefix, not standalone.
新	xīn	new	这是我的新手机。	Zhè shì wǒ de xīn shǒujī.	This is my new phone.	Attributive directly on nouns without 的: 新手机, 新工作. Use 新的 for the predicative sense: 我的手机是新的.
工人	gōngrén	worker	工厂里有很多工人。	Gōngchǎng lǐ yǒu hěn duō gōngrén.	There are many workers in the factory.	
工厂	gōngchǎng	factory	这家工厂很大。	Zhè jiā gōngchǎng hěn dà.	This factory is big.	Measure word: 家 (jiā).
房间	fángjiān	room	我的房间很小。	Wǒ de fángjiān hěn xiǎo.	My room is small.	Measure word: 间 (jiān) — same character as the second syllable.
房子	fángzi	house	他买了一栋房子。	Tā mǎi le yí dòng fángzi.	He bought a house.	
太棒了	tài bàng le	awesome! / great!	太棒了，你成功了！	Tài bàng le, nǐ chénggōng le!	Awesome, you did it!	Uses the 太…了 exclamation pattern ("so ___!"). Very common, enthusiastic praise.
果汁	guǒzhī	(fruit) juice	我想喝一杯苹果汁。	Wǒ xiǎng hē yì bēi píngguǒzhī.	I'd like a glass of apple juice.	Pattern: fruit + 汁 (橙汁 orange juice, 苹果汁 apple juice).
下周	xiàzhōu	next week	下周我很忙。	Xiàzhōu wǒ hěn máng.	I'm very busy next week.	No measure word 个 (NOT *下个周). Compare 下个月, 下个星期.
上周	shàngzhōu	last week	上周我去了北京。	Shàngzhōu wǒ qù le Běijīng.	Last week I went to Beijing.	No measure word 个 (NOT *上个周). Compare 上个月, 上个星期.
宫保鸡丁	gōngbǎo jīdīng	Kung Pao chicken	我要点宫保鸡丁。	Wǒ yào diǎn Gōngbǎo jīdīng.	I'd like to order Kung Pao chicken.	丁 (dīng) = "diced cubes" — indicates the ingredients are diced.
一起	yìqǐ	together	我们一起吃饭吧。	Wǒmen yìqǐ chīfàn ba.	Let's eat together.	Tone sandhi: 一 (yī) → yì before 3rd-tone 起.
小时	xiǎoshí	hour (duration)	我睡了八个小时。	Wǒ shuì le bā ge xiǎoshí.	I slept for eight hours.	Takes 个 as measure word (三个小时). Different from 点 (diǎn, o'clock).
睡觉	shuìjiào	to sleep	我十一点睡觉。	Wǒ shíyī diǎn shuìjiào.	I go to bed at 11.	Verb-object compound — splittable: 睡了一觉 (had a sleep), 睡个好觉 (have a good sleep).
够	gòu	enough / sufficient	钱够了。	Qián gòu le.	The money is enough.	Goes AFTER the noun it measures (钱够, NOT *够钱).
不够	bú gòu	not enough	时间不够。	Shíjiān bú gòu.	There's not enough time.	Tone sandhi: bù → bú before 4th-tone 够. Also goes AFTER the noun (时间不够).
地铁	dìtiě	subway / metro	我坐地铁去上班。	Wǒ zuò dìtiě qù shàngbān.	I take the subway to work.	Verb for "take (the subway)" is 坐 (zuò, sit).
这儿	zhèr	here	我在这儿。	Wǒ zài zhèr.	I'm here.	Northern/Beijing erhua form of 这里 (zhèlǐ); same meaning.
能	néng	can / to be able to (ability, possibility, request)	我能帮你。	Wǒ néng bāng nǐ.	I can help you.	Three uses: (1) physical/situational ability or possibility (我今天不能来 = I can't come today). (2) Polite requests — 你能…吗？ (你能帮我吗？ = Can you help me?). (3) Contrast: 会 (learned skill — 会不会), 可以 (permission — 可以不可以). "Can you swim?" — 会 (do you know how); "Can you swim now?" — 能 (are conditions right).
坐	zuò	to sit; to take (transport)	请坐。	Qǐng zuò.	Please sit down.	As a transport verb, used for vehicles you ride IN/ON while seated: 坐火车, 坐飞机, 坐公交车. Compare 开 (drive yourself).
来	lái	to come	他明天来。	Tā míngtiān lái.	He's coming tomorrow.	Motion TOWARD the speaker; opposite of 去 (qù). Also used to volunteer/offer: 我来 = "I'll do it / let me".
未	wèi	not yet; not (formal/literary)	我未婚。	Wǒ wèi hūn.	I'm unmarried.	Formal/literary. Rarely stands alone in speech — mostly appears in compounds.
点头	diǎntóu	to nod; to agree / say yes	他点头同意了。	Tā diǎntóu tóngyì le.	He nodded in agreement.	Verb-object compound — splittable: 点了点头. Also metaphoric "to give the nod / approve".
摇头	yáotóu	to shake one's head; to disagree / express disappointment	她摇头拒绝了。	Tā yáotóu jùjué le.	She shook her head to refuse.	Verb-object compound — splittable: 摇了摇头. Also metaphoric — expressing "no", disapproval, or disappointment.
里	lǐ	inside; in	屋子里很冷。	Wūzi lǐ hěn lěng.	It's cold inside the room.	Locative noun — goes AFTER the reference object (家里, 屋里, 教室里), opposite of English word order. Often omitted after 家: 我在家.
非常	fēicháng	very / extremely	今天非常热。	Jīntiān fēicháng rè.	Today is extremely hot.	Stronger than 很 (hěn). Unlike 很, 非常 truly means "very" — it does NOT serve as a required linker between subject and adjective (that's 很's role).
标准	biāozhǔn	standard; standard / typical	他的普通话很标准。	Tā de Pǔtōnghuà hěn biāozhǔn.	His Mandarin is very standard.	Both a noun (a standard) and an adjective (up to standard, typical).
前面	qiánmiàn	in front / ahead	前面那个人是我朋友。	Qiánmiàn nàge rén shì wǒ péngyou.	The person in front is my friend.	Two uses: (1) locative AFTER a reference object (学校前面 = in front of the school); (2) positional attribute BEFORE a noun/demonstrative (前面那个人 = "that person in front").
后面	hòumiàn	behind / at the back	后面那个人是老板。	Hòumiàn nàge rén shì lǎobǎn.	The person behind is the boss.	Two uses: (1) locative AFTER a reference object (我后面 = behind me); (2) positional attribute BEFORE a noun/demonstrative (后面那个人 = "that person behind").
点	diǎn	o'clock; dot / point; a little; to order (food); to click	现在三点。	Xiànzài sān diǎn.	It's three o'clock now.	As "o'clock" the measure word is built-in: 三点, NOT *三个点.
外公	wàigōng	grandpa (maternal)	外公喜欢下棋。	Wàigōng xǐhuan xiàqí.	Grandpa likes to play chess.	Paternal grandfather is 爷爷 (yéye). Northern colloquial variant: 姥爷 (lǎoye).
外婆	wàipó	grandma (maternal)	外婆住在南方。	Wàipó zhù zài nánfāng.	Grandma lives in the south.	Paternal grandmother is 奶奶 (nǎinai). Northern colloquial variant: 姥姥 (lǎolao).
搬家	bānjiā	to move (residence)	我下个月要搬家。	Wǒ xià ge yuè yào bānjiā.	I'm moving next month.	V-O compound — splittable: 搬了两次家 (moved twice). Bare 搬 alone = "to move/carry (things)".
原来的	yuánlái de	original / former / previous	这是我原来的电话号。	Zhè shì wǒ yuánlái de diànhuàhào.	This is my old phone number.	Bare 原来 (without 的) also means "it turns out (that)…" — a discovery marker (原来是你！ = So it was you!). With 的 it's the attributive "former/original".
另一个	lìng yí ge	another / the other one	我要另一个。	Wǒ yào lìng yí ge.	I want another one.	另 requires a measure word (另一个, 另一本, 另一种). Covers both "another (additional)" and "the other (of a pair)" — context decides.
上班	shàngbān	to go to work; to be at work	我八点上班。	Wǒ bā diǎn shàngbān.	I go to work at 8.	V-O compound — splittable: 上了一天班. Also means "on the clock / at work": 我在上班 = I'm at work right now.
下班	xiàbān	to get off work	我五点下班。	Wǒ wǔ diǎn xiàbān.	I get off work at 5.	V-O compound — splittable: 下了班 = after getting off work.
上课	shàngkè	to attend class; class is in session	我们九点上课。	Wǒmen jiǔ diǎn shàngkè.	We have class at 9.	V-O compound — splittable. Covers both "attend class" (student view) and "class starts / is in session" (general).
下课	xiàkè	class ends / to get out of class	下课后我们去吃饭吧。	Xiàkè hòu wǒmen qù chīfàn ba.	Let's go eat after class.	V-O compound — splittable: 下了课.
打电话	dǎ diànhuà	to make a phone call	我要给妈妈打电话。	Wǒ yào gěi māma dǎ diànhuà.	I need to call mom.	V-O compound. Verb is 打 ("hit"), NOT *做电话. Splittable with measure word: 打了一个电话.
给…打电话	gěi … dǎ diànhuà	to call (someone)	我给你打电话。	Wǒ gěi nǐ dǎ diànhuà.	I'll call you.	Pattern: 给 + person + 打电话. The recipient goes BEFORE the verb phrase (marked by 给), opposite of English "call + person".
打	dǎ	to hit; (highly polysemous verb)	别打他！	Bié dǎ tā!	Don't hit him!	Meaning depends heavily on the object: 打电话 (make a call), 打球 (play a ball game), 打车 (hail a taxi), 打字 (type).
饺子	jiǎozi	dumpling (jiaozi)	我们晚上吃饺子。	Wǒmen wǎnshang chī jiǎozi.	We're having dumplings tonight.	
包子	bāozi	steamed bun (with filling)	我要一个肉包子。	Wǒ yào yí ge ròu bāozi.	I want a meat bun.	Thick-dough steamed bun; distinct from 饺子 (thin-wrapper dumpling).
鸡蛋	jīdàn	egg	我早上吃了一个鸡蛋。	Wǒ zǎoshang chīle yí ge jīdàn.	I ate an egg this morning.	
火腿	huǒtuǐ	ham	我不吃火腿。	Wǒ bù chī huǒtuǐ.	I don't eat ham.	
鸡蛋和火腿	jīdàn hé huǒtuǐ	eggs and ham	早餐我吃鸡蛋和火腿。	Zǎocān wǒ chī jīdàn hé huǒtuǐ.	I have eggs and ham for breakfast.	
请进	qǐng jìn	please come in	请进！	Qǐng jìn!	Come in, please!	
雪碧	Xuěbì	Sprite (soda brand)	我要一瓶雪碧。	Wǒ yào yì píng Xuěbì.	I want a bottle of Sprite.	
可乐	kělè	cola	来一杯可乐。	Lái yì bēi kělè.	A cola please.	Characters also literally read 可 (can) + 乐 (bring joy) = "can bring joy" — the pun cola brand names exploit.
芬达	Fēndá	Fanta (soda brand)	我不喜欢芬达。	Wǒ bù xǐhuan Fēndá.	I don't like Fanta.	
百事	Bǎishì	Pepsi (brand); (lit.) hundred matters	百事是美国的品牌。	Bǎishì shì Měiguó de pǐnpái.	Pepsi is an American brand.	Literally "hundred matters/affairs" — sets up the pun in 百事可乐.
百事可乐	Bǎishì Kělè	Pepsi (Cola)	我更喜欢百事可乐。	Wǒ gèng xǐhuan Bǎishì Kělè.	I prefer Pepsi.	The Chinese name reads literally as "hundred matters can bring joy" — deliberate pun on 可乐's dual sense of "cola" and "can bring joy".
可口	kěkǒu	tasty / palatable	这道菜很可口。	Zhè dào cài hěn kěkǒu.	This dish is delicious.	Literally "can enter the mouth" (可 can + 口 mouth). More formal/written than 好吃; standard for describing taste.
可口可乐	Kěkǒu Kělè	Coca-Cola	一瓶可口可乐，谢谢。	Yì píng Kěkǒu Kělè, xièxie.	One bottle of Coke, please.	The Chinese name puns as "tasty and joy-bringing" — both halves double as phonetic transliteration and meaningful Chinese phrases.
健身房	jiànshēnfáng	gym	我每天去健身房。	Wǒ měitiān qù jiànshēnfáng.	I go to the gym every day.	健身 (work out / fitness) + 房 (room). 房 here means "room / facility", not "house".
平常	píngcháng	usual, ordinary; usually	我平常六点起床。	Wǒ píngcháng liù diǎn qǐchuáng.	I usually get up at 6.	Works as both adjective ("ordinary, unremarkable") and adverb ("usually"). Contrast 平时 which is adverb only.
平时	píngshí	in ordinary times / usually	他平时很忙。	Tā píngshí hěn máng.	He's usually busy.	Adverb only — refers to "usual/normal" times as contrast with special occasions. Contrast 平常 which can also be an adjective.
[地点]有[数+量词+名词]	[dìdiǎn] yǒu [shù + liàngcí + míngcí]	there is/are [N] [object] at [location]	桌子上有三本书。	Zhuōzi shàng yǒu sān běn shū.	There are three books on the table.	Existence pattern with 有. Location comes FIRST (opposite of English "there is X at Y"). A measure word between number and noun is required.
[地点]没有[名词]	[dìdiǎn] méi yǒu [míngcí]	there is no [object] at [location]	家里没有咖啡。	Jiā lǐ méi yǒu kāfēi.	There's no coffee at home.	Negative existence pattern. Location comes FIRST. 有 is negated with 没, never 不. No measure word required — just states the object is absent.
三明治	sānmíngzhì	sandwich	我中午吃了一个三明治。	Wǒ zhōngwǔ chīle yí ge sānmíngzhì.	I had a sandwich for lunch.	
[代词]自己	[dàicí] zìjǐ	[pronoun]-self (myself, yourself, etc.)	我自己做的。	Wǒ zìjǐ zuò de.	I made it myself.	Reflexive intensifier that FOLLOWS the pronoun: 我自己, 你自己, 他自己, 我们自己. Also stands alone as "on one's own / by oneself": 我自己去 = I'll go by myself.
早上[X]点	zǎoshang [X] diǎn	[X] AM (early morning)	我早上七点起床。	Wǒ zǎoshang qī diǎn qǐchuáng.	I get up at 7 AM.	Roughly 6–9 AM (early morning).
上午[X]点	shàngwǔ [X] diǎn	[X] AM (morning time)	上午九点上课。	Shàngwǔ jiǔ diǎn shàngkè.	Class starts at 9 AM.	Roughly 9 AM–noon.
下午[X]点	xiàwǔ [X] diǎn	[X] PM (afternoon time)	我下午三点开会。	Wǒ xiàwǔ sān diǎn kāihuì.	I have a meeting at 3 PM.	Covers roughly noon–6 PM.
晚上[X]点	wǎnshang [X] diǎn	[X] PM (evening/night)	晚上八点吃饭。	Wǎnshang bā diǎn chīfàn.	Dinner at 8 PM.	Roughly 6 PM onward (evening/night).
沙发	shāfā	sofa / couch	我坐在沙发上。	Wǒ zuò zài shāfā shàng.	I'm sitting on the couch.	Measure word: 张 (for flat/spreading furniture) or 个.
床	chuáng	bed	她躺在床上。	Tā tǎng zài chuáng shàng.	She's lying on the bed.	Measure word: 张 (for flat/spreading furniture).
太好了	tài hǎo le	great! / awesome! / that's wonderful!	太好了，谢谢你！	Tài hǎo le, xièxie nǐ!	Great, thank you!	Uses the 太…了 exclamation pattern ("so ___!"). Slightly softer / more everyday than 太棒了.
终于	zhōngyú	finally / at last	我终于找到了！	Wǒ zhōngyú zhǎodào le!	I finally found it!	Adverb: placed BEFORE the verb. Implies a long wait or effort resolved; carries a positive/relieved tone.
找到	zhǎodào	to find (successfully)	我找到我的钥匙了。	Wǒ zhǎodào wǒ de yàoshi le.	I found my keys.	找 (search) + 到 (reach) — resultative complement emphasizing the successful RESULT.
找不到	zhǎo bú dào	can't find / unable to find	我找不到我的手机。	Wǒ zhǎo bú dào wǒ de shǒujī.	I can't find my phone.	Potential-complement negative: 不 goes INSIDE the compound: 找+不+到, NOT *不找到. Means the result is unattainable, not just "didn't search".
看到	kàndào	to see (successfully)	我看到他了。	Wǒ kàndào tā le.	I saw him.	看 (look) + 到 (reach) — resultative emphasizing successful perception.
看不到	kàn bú dào	can't see / unable to see	雾太大，我看不到路。	Wù tài dà, wǒ kàn bú dào lù.	The fog is too thick, I can't see the road.	Potential-complement negative pattern: 不 goes INSIDE the compound (看+不+到), NOT *不看到.
盘子	pánzi	plate; dish	桌子上有三个盘子。	Zhuōzi shàng yǒu sān ge pánzi.	There are three plates on the table.	
裤子	kùzi	pants / trousers	我买了一条新裤子。	Wǒ mǎi le yì tiáo xīn kùzi.	I bought new pants.	Measure word: 条 (long/thin items).
衬衫	chènshān	shirt (button-up / dress shirt)	他今天穿了一件白衬衫。	Tā jīntiān chuān le yí jiàn bái chènshān.	He's wearing a white shirt today.	Measure word: 件.
鞋	xié	shoe(s)	这双鞋很舒服。	Zhè shuāng xié hěn shūfu.	These shoes are comfortable.	Measure word: 双 (pair) or 只 (single one). Rarely stands alone in speech — usually in compounds: 皮鞋 (leather shoes), 运动鞋 (sneakers).
外套	wàitào	coat / outer jacket	今天冷，穿外套。	Jīntiān lěng, chuān wàitào.	It's cold today, wear a coat.	General term for any outer garment worn OVER other clothes. Measure word: 件.
薄外套	báo wàitào	light / thin coat	春天穿薄外套就行。	Chūntiān chuān báo wàitào jiù xíng.	A light coat is enough for spring.	
厚外套	hòu wàitào	heavy / thick coat	冬天要穿厚外套。	Dōngtiān yào chuān hòu wàitào.	You need a thick coat in winter.	
羽绒服	yǔróngfú	down jacket / puffer jacket	他穿了一件羽绒服。	Tā chuān le yí jiàn yǔróngfú.	He's wearing a down jacket.	羽绒 (down feathers) + 服 (garment). Measure word: 件. Specifically the puffy insulated jacket for cold weather.
雨衣	yǔyī	raincoat	下雨了，穿雨衣吧。	Xià yǔ le, chuān yǔyī ba.	It's raining, put on a raincoat.	Measure word: 件.
火锅	huǒguō	hotpot	我们去吃火锅吧。	Wǒmen qù chī huǒguō ba.	Let's go eat hotpot.	
这周	zhèzhōu	this week	这周你忙吗？	Zhèzhōu nǐ máng ma?	Are you busy this week?	
休息	xiūxi	to rest	你累了，休息一下吧。	Nǐ lèi le, xiūxi yíxià ba.	You're tired, take a break.	Second syllable is neutral tone.
外	wài	outside; outer; foreign	他在外面等你。	Tā zài wàimiàn děng nǐ.	He's waiting for you outside.	Opposite of 里 (lǐ, inside). Locative: goes AFTER the reference object (门外 = outside the door).
天气	tiānqì	weather	今天天气很好。	Jīntiān tiānqì hěn hǎo.	The weather is nice today.	
真	zhēn	really; truly; genuine	今天真冷！	Jīntiān zhēn lěng!	It's really cold today!	Adverb before adjectives/verbs. Unlike 很, always carries emphatic/genuine "really" meaning — never a neutral linker.
吧	ba	(suggestion/supposition particle)	我们走吧。	Wǒmen zǒu ba.	Let's go.	At end of sentence: (1) suggestion/invitation — "let's" (我们走吧 = let's go), (2) softens a statement into a guess/assumption (你是学生吧 = you're a student, right?). Always neutral tone.
准备	zhǔnbèi	to prepare; to plan to	我在准备考试。	Wǒ zài zhǔnbèi kǎoshì.	I'm preparing for an exam.	Also "to plan/intend": 我准备明天走 = I plan to leave tomorrow.
食物	shíwù	food	冰箱里有很多食物。	Bīngxiāng lǐ yǒu hěn duō shíwù.	There's a lot of food in the fridge.	More formal/written than 吃的 (chīde, casual "food/stuff to eat").
收到	shōudào	received / got it	好的，收到。	Hǎo de, shōudào.	OK, got it.	收 (receive) + 到 (reach). Common in text/work chat as a short acknowledgement: 好的收到 = "Roger / acknowledged".
毯子	tǎnzi	blanket	晚上冷，多盖一条毯子。	Wǎnshang lěng, duō gài yì tiáo tǎnzi.	It's cold at night, cover up with an extra blanket.	Measure word: 条.
卧室	wòshì	bedroom	我的卧室很小。	Wǒ de wòshì hěn xiǎo.	My bedroom is small.	卧 (lie down) + 室 (room).
室	shì	room (formal/compound element)	教室里有三十个学生。	Jiàoshì lǐ yǒu sānshí ge xuésheng.	There are 30 students in the classroom.	Formal/written — rarely stands alone. Appears in compounds: 教室, 卧室, 浴室, 办公室. Compare 间 (jiān), which also means "room" but is the measure word too.
间	jiān	room; (measure word for rooms)	这家酒店有一百间房间。	Zhè jiā jiǔdiàn yǒu yìbǎi jiān fángjiān.	This hotel has 100 rooms.	Both a noun suffix (房间, 洗手间, 卫生间) and the measure word for rooms: 一间房 = one room. Compare 室 (formal compound element).
浴室	yùshì	bathroom (with bath/shower)	浴室在卧室旁边。	Yùshì zài wòshì pángbiān.	The bathroom is next to the bedroom.	Specifically the bathing room. Compare 洗手间/卫生间 (restroom/toilet).
浴	yù	to bathe; bath	他在洗浴。	Tā zài xǐyù.	He's bathing.	Rarely standalone — mostly in compounds: 浴室, 沐浴 (mùyù, to bathe, formal), 浴缸 (yùgāng, bathtub).
卧	wò	to lie down; to recline	他卧在床上。	Tā wò zài chuáng shàng.	He's lying on the bed.	More formal/written than 躺 (tǎng, everyday "lie down"). Mostly in compounds: 卧室 (bedroom), 卧铺 (wòpù, sleeping berth on a train).
洗手间	xǐshǒujiān	restroom	洗手间在哪儿？	Xǐshǒujiān zài nǎr?	Where's the restroom?	Literally "hand-washing room". The polite, universal term. Synonym: 卫生间 (wèishēngjiān).
洗	xǐ	to wash	我在洗手。	Wǒ zài xǐ shǒu.	I'm washing my hands.	Versatile: 洗手 (wash hands), 洗脸 (wash face), 洗澡 (take a shower/bath), 洗衣服 (do laundry).
树	shù	tree	公园里有很多树。	Gōngyuán lǐ yǒu hěn duō shù.	There are many trees in the park.	Measure word: 棵 (kē, for plants/trees).
花	huā	flower; to spend (money/time)	这朵花很漂亮。	Zhè duǒ huā hěn piàoliang.	This flower is beautiful.	Also a verb: 花钱 (spend money), 花时间 (spend time). Measure word for flowers: 朵 (duǒ).
河	hé	river	这条河很长。	Zhè tiáo hé hěn cháng.	This river is very long.	Measure word: 条. ⚠️ Homophone: 和 (hé, "and") — same tone, different character.
看看	kànkan	to take a look / to have a peek	我去看看。	Wǒ qù kànkan.	I'll go take a look.	Verb reduplication — softens the action ("just have a quick look"). Second syllable becomes neutral tone.
没事	méishì	no worries / it's nothing / I'm fine	——谢谢！——没事。	—Xièxie! —Méishì.	—Thanks! —No worries.	Works as a reply to both 谢谢 (thanks) and 对不起 (sorry). Also means "nothing's wrong / I'm fine": 你没事吧？ = Are you OK?
没事儿	méishìr	no worries / it's nothing / I'm fine	——对不起！——没事儿。	—Duìbuqǐ! —Méishìr.	—Sorry! —No worries.	Northern/Beijing erhua variant of 没事. Same meaning and usage.
